news_cluster_id,canonical_publication_time,year,canonical_source,canonical_title,cleaned_lead,decision,relevance_score,score_band,evidence_type,manual_relevant,review_notes
news_8c0609731a57209a59f5,2018-09-17 23:15:57+00:00,2018,CCN,Bullish on Blockchain: Georgia Universities to Offer Fintech Degree Programs,"The University System of Georgia (USG)announcedthe launch of a state-wide fintech academy on on Sept. 11. It is the largest education effort of its kind in the United States. While individual universities have offered blockchain courses, such asStanfordandNYU, Georgia is opening the program to all current students across all colleges in the state’s public university system. Additionally, professionals and degree-holders who desire to enter the fintech sector can enroll in the academy. Called the",removed,0,below_threshold,content_repeated,,
news_9ee4139069c40a5c4757,2018-01-29 07:39:49+00:00,2018,Reuters,The Coincheck hack and the issue with crypto assets on centralized exchanges,"HONG KONG/TOKYO (Reuters) - Hackers have stolen roughly 58 billion yen ($532.6 million)from Tokyo-based cryptocurrency exchange Coincheck Inc, raising questions about security and regulatory protection in the emerging market of digital assets. The following are some questions and answers about one of the largest heists of cryptocurrencies in the history: WHAT IS NEM? NEM is a cryptocurrency launched in March 2015 by a team of five developers identifying themselves as Pat, Makoto, Gimre, BloodyRo",removed,0,below_threshold,content_repeated,,
news_610095e4342a4f4ddf2a,2018-11-14 12:00:27+00:00,2018,CCN,Bloodbath: Crypto Market Drops in $8B Wipeout; Bitcoin Cash Down 24.4% in 1 Week,"Over the past 12 hours, more than $8 billion was wiped out from the crypto market, as several major digital assets including Bitcoin Cash (BCH) and Stellar (XLM) suffered. For the first time in the past ten days, the price of BCH has dropped below the $500 mark to $480. Within the past week, after securing a monthly high at $630, BCH has dropped by more than 24.4 percent. Prior to a hard fork, especially a contentious hard fork in which a chain split is almost guaranteed, investors tend to buy a",removed,0,below_threshold,content_repeated,,
news_705423cdcef2d83145d5,2018-09-07 16:00:24+00:00,2018,CoinDesk,Quione Looks to Boost Crypto Liquidity With New Trading Platform,"Cryptocurrency exchange startup Quione has launched a newÂ trading platform that it says will bring much needed liquidity to the crypto markets. Called Liquid, the new service isÂ a cryptocurrency trading ""portal"" that provides users with access to what it claims in apress releaseis ""a worldwide network of cryptocurrency exchanges."" With a lack of liquidity having ""hampered the development of the cryptocurrency markets,"" Liquid argued that its new product could help usher in greater stability. A",removed,1,below_threshold,content_repeated,,
news_8922f5f87c7be80891a7,2018-05-05 05:13:03+00:00,2018,FX Empire,The British pound falls against greenback on Friday,"The most important thing to pay attention to on this chart is that we have broken through a massive uptrend line on the weekly chart, and that of course is a very negative sign. I think short-term rallies should be selling opportunities, as we continue to seethe US dollarshow signs of strength, and it looks like that the rallies will continue to show signs of exhaustion. Those exhaustive candles are nice selling opportunities as we continue to go much lower, perhaps down to the 1.30 level. The m",removed,0,below_threshold,content_single,,
news_5beea98026371642cc37,2018-07-21 08:30:43+00:00,2018,CoinDesk,Crypto Trading 101: Bull and Bear Flags (And What They Mean for Price),"When it comes to making big money in trading, the trend is your friend. But spotting the trend when it is in the nascent stage is challenging, and running along with it right up to the top is an even bigger challenge. That's becauseÂ asset prices rarely see a 90-degree rally or collapse. More often than not, trends (bullish/bearish) will pause briefly to allow traders or investors who missed the initial move (higher or lower) to join the bandwagon. If the participation increases, the asset price",removed,0,below_threshold,content_single,,
news_4fdba9ca9214c633726b,2018-05-25 21:02:57+00:00,2018,Bitcoin Magazine,Podcast Platform Castbox Launches Blockchain Project to Reward Creators,"Castbox Award-winning global podcast platform Castbox has announced the release of ContentBox, a blockchain-based infrastructure for decentralized digital content. The project is backed by Bo Shen — the founder of Fenbushi Capital and an early adopter of Ethereum — who will serve as both a cornerstone investor and strategic advisor to the team. Shen said, “The nature of blockchain technology is to take a slice of the pie from vested interest groups, where you are bound to encounter resistance. T",removed,0,below_threshold,content_single,,
news_49f2fbad92a3edba1b30,2018-11-23 22:10:04+00:00,2018,CCN,Bitcoin Cash Price Drops 12% to New All-Time Low at $190 — What’s Causing it?,"Since November 7, theBitcoin Cash price(BCH) has dropped from $640 to $190, by more than 70 percent. Prior to the hash power war betweenBitcoin CashandBitcoin Cash SV, a camp led by CoinGeek, Calvin Ayre, and Craig Steven Wright, the price of BCH plunged from $640 to around $450. BCHhas continued to extend its loss to the lower end of $200 in the past several days following the incident, finally dipping below the $200 support level in the last 24 hours. Within a two-day span, BCH dropped by more",removed,0,below_threshold,content_single,,
news_a75cf03901ece0ad7dfd,2018-10-24 16:00:00+00:00,2018,ACCESSWIRE,Binance Unveils Blockchain-Based Donation Portal at UNCTAD World Investment Forum,"GENEVA / ACCESSWIRE / October 24, 2018 /On the 73rd anniversary of UN Day,Binance-initiatedBlockchain Charity Foundation(BCF) launched a blockchain-based donation portal at the UNCTAD World Investment Forum. The charity system will begin accepting donations immediately, with initial support for BNB, BTC and ETH cryptocurrencies. BCF will also open a donation channel to support victims of thefloods and landslides in Eastern Uganda. Binance CEO Changpeng Zhao delivers keynote at the Blockchains fo",removed,2,threshold_2,content_single,,
news_65a5fb04ebac52186a77,2018-01-05 21:08:09+00:00,2018,Zacks,5 Surprising Ways to Profit from Cryptocurrencies,"Whether Bitcoin goes to $1 or $1 million, it's already made an indelible impact on the financial markets. The word of the day here is ""Blockchain."" We've seen the mania surrounding cryptocurrencies but on the equity side it's bordered on insanity. There have been some very famous cases of companies simply adding the word ""Blockchain"" to their names and then rallying 500% the next trading day. This sort of insanity has created a huge buzz in the investment community, sparking debate on both sides",removed,2,threshold_2,content_single,,
news_246c550ab826805ff679,2018-02-23 00:23:00+00:00,2018,Engadget,Robinhood's commission-free cryptocurrency trading is live,"The zero-fee stock trading app, Robinhood,announcedits plan to enable users to buy and sell Bitcoin and Ethereum last month. Now the company is making good on its promises. Starting today, Robinhood isrolling out accessto trade the two cryptocurrencies in California, Massachusetts, Missouri, Montana and New Hampshire, with plans to expand to many more states later. If you're not in one of the states covered, you can still monitor and track market data for all 16 cryptocurrencies in theRobinhooda",removed,2,threshold_2,content_single,,
news_4fff582049f6667fbf04,2018-12-24 11:00:21+00:00,2018,Bloomberg,Mark Zuckerberg Uses Blockchain For His Own Ends,(Bloomberg Opinion) -- The idea that a company as powerful and autocratic as Facebook Inc. would ever dive into crypto-currencies has always seemed a bit like the Death Star deciding to throw a staff Christmas party. Whether it’s the Bitcoin model itself (Wild West capitalism where nobody’s in charge) or the more corporate-friendly efforts to exploit the blockchain approach (distributed databases across networks within a business or industry) it’s been hard to see how a billionaire like Mark Zuc,removed,2,threshold_2,content_single,,
news_54f885a82833c868cc92,2018-02-06 15:28:00+00:00,2018,Motley Fool,It's Officially a Stock Market Correction -- Here's What You Need to Do,"As of Tuesday, Feb. 6, the stock market briefly dipped into a correction, which is generally defined as a drop of 10% or more from the highs. Although the speed of this correction may seem scary, it's important to take a step back, assess the situation, and come up with a game plan. This may feel like a stock market crash, simply because of the speed with which the market has dropped. After all, 1000+ point single-day drops in the Dow Jones Industrial Average can be quite scary. Image source: Ge",removed,0,below_threshold,no_bitcoin_evidence,,
